name,address,hours
«Кафе»,"первый тупик Бешагач, 9, Шайхантахурский район",10:00-23:00
«Уголок»,"просп. Мустакиллик, 10, Юнусабадский район",11:00-22:00
#FARШ,"ул. Мирабад, 9А, Яккасарайский район",10:00-23:00
1991 Cafe,"ул. Мустакиллик, 7, Мирзо-Улугбекский район",12:00-00:00
2 Брата,"Сергели-2, 50, Сергелийский район",11:00-23:00
2012 Beauty & Health,"просп. Мустакиллик, 79, Мирзо-Улугбекский район",09:00-21:00
33 пингвина,"ул. Мирабад, 33, Мирабадский район",08:00-22:00
33 пингвина,"ул. Темура Малика, Мирзо-Улугбекский район",17:00-23:00
6 Floor Grill & Bar,"ул. Буюк Турон, 56, Мирабадский район",19:00-23:00
7 Бочек,"ул. Абдурауфа Фитрата, 93, Мирабадский район",15:00-23:00
7 Небо,"ул. Паркент, 16, Яшнабадский район",12:00-02:00
7Sky Karaoke & Bar,"ул. Ивлева, 22, Яккасарайский район",17:00-23:00
A la carte,"ул. Кичик Халка Йули, 57, Юнусабадский район",
Abi Mukammal Doner,"ул. Олой Бозори, 23, Мирзо-Улугбекский район",11:00-23:00
Adras,"ул. Арнасай, 7, Чиланзарский район",
Affresco,"ул. Бабура, 14, Яккасарайский район",11:00-00:00
Afina,"ул. Пилла, 76, Мирзо-Улугбекский район",11:00-
Afiyet Doner Kebab,"просп. Абдуллы Каххара, 1А, Олмазорский район",09:00-23:00
Afsona,"ул. Тараса Шевченко, 30, Мирабадский район",11:30-23:00
Ahtamar,"ул. Матбуотчилар, 17, Шайхантахурский район",
Aksu,"ул. Мукими, 178, Чиланзарский район",11:00-23:00
Aksu,"ул. Алишера Навои, 11Б, Юнусабадский район",11:00-23:00
Aksu,"ул. Шифонур, 8, Олмазорский район",11:00-23:00
Al Aziz,"ул. Абдуллы Кодыри, Юнусабадский район",10:00-23:00
Al Qasr,"ул. Бабура, 83, Яккасарайский район",12:00-23:00
Ali-Baba,"Паркент,  3 туп., д.4",
Alis,"ул. Султанали Машхадий, 21, Яшнабадский район",12:00-23:00
Allegro,"просп. Амира Темура, 107А, Юнусабадский район",9:00-23:00
Amadeus Hall Karaoke & Lounge Bar,"просп. Амира Темура, 25, Юнусабадский район",19:00-06:00
Amaretto,"ул. Шота Руставели, 28, Яккасарайский район",11:00-00:00
America Bar,"ул. Хирмонтепа (быв. Севастопольская), 74, Мирзо-Улугбекский район",15:00-03:00
American Pizza,"ул. Кораташ, 5А, Шайхантахурский район",
American Pizza,"ул. Бабура, 6, Яккасарайский район",10:00-23:00
American Pizza,"ул. Катартал, 60, Чиланзарский район",
Amigo,"Малая кольцевая дорога, Юнусабадский район",10:00-23:00
Angel’s Pizza,"ул. Кораташ, 5А, ТРЦ Samarqand Darvoza, Шайхантахурский район",10:00-22:00
Angelina cafe,"ул. Саехат, 5, Мирзо-Улугбекский район",11:00-23:00
Anhor,"ул. Мирабад, 35, Мирабадский район",08:00-23:00
Ani,"ул. Паркент, 52, Яшнабадский район",12:00-23:00
Anjir Milliy Taomlar,"Юнусабад-13, Юнусабадский район",
Anjir Milliy Taomlar,"ул. Шота Руставели, 12, Яккасарайский район",08:00-23:00
Ankara kebap,"ул. Абдуллы Кадыри, 1А, Шайхантахурский район",
Anor,"ул. Заркайнар, 1, Олмазорский район",11:00-23:00
Anor+,"ул. Мирабад, 7, Мирабадский район",10:00-00:00
Antares,"ул. Афросиаб, 65, Мирабадский район",
Antract coffee&bakery,"ул. Буюк Ипак Йули, 158А, Мирзо-Улугбекский район",07:00-22:00
Anubis,"ул. Бабура, 21, Яккасарайский район",12:00-4:00
Apexpizza,"Юнусабад-8, 40А, Юнусабадский район",
Apexpizza,"Ц-1, ул. Узбекистон овози, 21, Мирзо-Улугбекский район",
Apexpizza,"ул. Мукими, 41, Яккасарайский район",
Apexpizza Dastarhan,"ул. Паркентская, 43А, Мирзо-Улугбекский район",
April Verdant,"ул. Чинабад, 63, Юнусабадский район",11:00-23:00
Aqua Bar,"просп. Амира Темур, 88, Юнусабадский район",09:00-18:00
Arabika,"ул. 1-й проезд Мукими, 8, Яккасарайский район",12:00-00:00
Araks,"ул. 7-й проезд Мавлона Риёзи, 20, Яшнабадский район",10:00-23:00
Ararat,"ул. Пилла, 76, Мирзо-Улугбекский район",11:00-23:00
Arcobaleno,"ТТЗ 4, д. 4, Мирзо-Улугбекский район",11:00-23:00
Ariana,"ул. Бабура, Яккасарайский район",10:00-23:00
Aristocrat,"ул. Абая, 4, Шайхантахурский район",12:00-23:00
Ariston,"ул. Лашкарбеги, 2, Мирзо-Улугбекский район",18:00-00:00
Ariston Park,"ул. Хамидуллы Арипова, 21, Мирзо-Улугбекский район",09:00-23:00
Arisu Sarang Restaurant & Sushi Bar,"ул. Чехова, 40, Мирабадский район",11:00-23:00
Ark Binket,"ул. Кичик Халка йули, Юнусабадский район",11:00-23:00
Aroma Rooms Lounge Bar,"ул. Саид барака, 34А, Мирабадский район",
Arrows & Sparrows,"ул. Заркайнар, Шайхантахурский район",08:00-00:00
Art Chinor,"ул. Буюк Ипак Йули, 345, Мирзо-Улугбекский район",11:00-23:00
Art restaurant Kailas,"ул. бывшая Севастопольская, 74, Мирзо-Улугбекский район",11:00-01:00
Art Restaurant Piligrim,"ул. Братислава, 2, Яккасарайский район",11:00-23:45
Asiana,"просп. Амира Темура, Юнусабадский район",11:00-23:00
Asl Milliy Taomlar,"ул. Гафура Гуляма, 1, Шайхантахурский район",
Assorti,"ул. Узбекистон Овози, 2, Мирзо-Улугбекский район",12:00-23:00
Atlantis Karaoke,"ул. Шокирарык, 58, Сергелийский район",17:00-03:00
Atrium,"ул. Кичик Халка Йули, 57, Шайхантахурский район",10:00-23:00
Australian Coffee House,"ул. Садыка Азимова, 44, Мирзо-Улугбекский район",08:00-22:00
Avenue 19,"Юнусабад, 19, Юнусабадский район",
Avenue Fusion Restaurant,"ул. Акая, 16, Шайхантахурский район",12:00-23:00
Ayran Zone,"ул. Себзар, 6, Шайхантахурский район",
Ayvan Restaraunt,"ул. Абдулла Кадыри 6, 5, Шайхантахурский район",09:00-23:00
Azara,"Парк «Дружбы», Яккасарайский район",
AZUR — Terrace Garden,"пр. Уста Алима, Олмазорский район",
Azura Park,"просп. Амира Темура, Юнусабадский район",09:00-23:00
B&B Coffee House,"ул. Кары-Ниязи, 61, Мирзо-Улугбекский район",08:00-23:00
B&B Coffee House,"ул. Фидокор, 25, Мирабадский район",08:00-23:00
B&B Coffee House,"ул. Буюк Ипак Йули, 2, Мирзо-Улугбекский район",08:00-02:00
B&B Coffee House,"ул. Шота Руставели, 30А, Яккасарайский район",08:00-22:00
Baden - Pub & Restaurant,"ул. Шифонур, 8, Олмазорский район",11:00-23:00
Bagration,"ул. Мирабад, 40, Яккасарайский район",11:00-23:00
Bahor,"ул. Истикбол, 8, Мирабадский район",08:00-02:00
Baktra,"Чиланзар-5, 2, Чиланзарский район",11:00-00:00
Balcon,"Юнусабад-11, Юнусабадский район",
Bamboo Dimsum,"ул. Тараса Шевченко, 32, Мирабадский район",
Banquette Hall,"ул. Кичик Халка Йули, 101б, Олмазорский район",10:00-23:00
Baqqol Restaurant & Lounge Bar,"ул. Таффакур, 68, Яккасарайский район",
Bar 25,"городской поселок Салар, улица Карамурт, 2 А",16:00-05:00
Bar Villa,"ул. Уйсозлар, 7, Яшнабадский район",
Barbaris,"ул. Абдуллы Каххара, 49, Яккасарайский район",11:30-23:00
Barbeque Burger,"ул. Кораташ, 5А, Шайхантахурский район",10:00-23:00
Barbeque Burger,"ул. Зарафшон, 1, Мирабадский район",
Barbeque Burger,"Ц-1, ул. Узбекистон Овози, 21, Мирзо-Улугбекский район",10:00-22:00
Barbeque Burger,"ул. Буюк Ипак Йули, 105А, Мирзо-Улугбекский район",10:00-22:00
Barbeque Burger,"ул. Бабура, 6, Шайхантахурский район",10:00-22:00
Barbeque Burger,"ул. Ахмада Дониша, 2Б, Юнусабадский район",10:00-22:00
Barbeque Burger,"ул. Катартал, 60, Чиланзарский район",
Barbeque Burger,"ул. Буюк Ипак Йули, 105А, Мирзо-Улугбекский район",10:00-22:00
BarBoss,"ул. Шота Руставели, 105, Яккасарайский район",21:00-06:00
Barcode,"просп. Амира Темура, 129, Юнусабадский район",23:00-05:00
BarDuck,"ул. Матбуотчилар, 17, Юнусабадский район",
Baritone Karaoke,"ул. Мукими, 142/2, Чиланзарский район",11:00-23:00
Barlos,"просп. Алишера Навои, 26, Шайхантахурский район",
