,name,address,phone,categories,rating,amount_of_reviews,avg_check,price_eval,working_hours
0,Подушечная,"Юнусабадский район, ул. Осиё, 17",+998 90 999 77 61,"['Ресторан', 'пиццерия', 'кафе']","4,4",434 отзыва,80000–120000 узб.сум,выше среднего,Открыто до 23:00
1,Nice Joy,"Юнусабадский район, ул. Осиё, 89/33",+998 90 999 77 62,"['Ресторан', 'суши-бар', 'кафе']","4,4",127 отзывов,80000–100000 узб.сум,выше среднего,Открыто до 23:00
2,Силк96,"ул. Кары-Ниязи, 68",+998 99 835 85 00,"['Ресторан', 'кафе', 'бар, паб']","4,4",80 отзывов,80000–120000 узб.сум,выше среднего,Закрыто до 15:00
3,Akmal Oltin Baliq,"Ташкентская область, Кибрайский район, улица Укитувчи, 109",+998 97 145 49 95,['Кафе'],"4,4",188 отзывов,,,Открыто до 23:00
4,СМИ,"ул. Кары-Ниязи, 68",+998 99 835 85 00,"['Бар, паб', 'кафе']","4,4",111 отзывов,30000–50000 узб.сум,высокие,Закрыто до 20:00
5,Эфенди,"Ташкент, Шайхантахурский район, махалля Лабзак 12/1",+998 95 177 09 93,"['Ресторан', 'кафе', 'доставка еды и обедов']","4,4",244 отзыва,,,Открыто до 22:30
6,Street 77,"Мирзо-Улугбекский район, ул. Шастри, 19А",+998 71 200 86 86,"['Быстрое питание', 'кафе']","4,4",320 отзывов,,,Открыто до 03:00
7,Dayako Chicken,"Яккасарайский район, 9-й пр. Абдуллы Каххара, 16А",+998 71 200 56 56,"['Кафе', 'ресторан']","4,4",261 отзыв,,,Открыто до 23:00
8,Караван,"Яккасарайский район, ул. Махмуда Тараби, 22",+998 78 150 75 55,"['Ресторан', 'доставка еды и обедов']","4,4",504 отзыва,100000 узб.сум,выше среднего,Открыто до 02:00
9,Dunyo,"Яккасарайский район, ул. Кушбеги, 6",+998 95 198 08 01,"['Ресторан', 'кафе']","4,4",468 отзывов,100000 узб.сум,выше среднего,Открыто до 23:00
10,Центр плова,"Ташкент, ул. Чингиза Айтматова, 33",+998 71 235 59 80,['Кафе'],"4,4",130 отзывов,15000–25000 узб.сум,средние,Открыто до 22:00
11,B&b,"Ташкент, ул. Шота Руставели, 30А",+998 71 209 84 48,['Кафе'],"4,4",577 отзывов,,,Открыто до 02:00
